Counter,Date/time,Latitude,Longitude,Image file,Image type,Prediction score,sunlight
1,2023-05-05 12:54:05.688582,17.15542195777923,-70.8116872327446,day,0.99609375,Yes,in sunlight
2,2023-05-05 12:54:43.503046,15.272209175532616,-69.32109275945585,day,0.99609375,Yes,in sunlight
3,2023-05-05 12:55:21.735159,13.376787163029997,-67.85969908897015,day,0.99609375,Yes,in sunlight
4,2023-05-05 12:55:59.467610,11.470901216352605,-66.4234675624167,day,0.99609375,Yes,in sunlight
5,2023-05-05 12:56:37.207741,9.556213245056181,-65.00850954163162,day,0.99609375,Yes,in sunlight
6,2023-05-05 12:57:14.856056,7.684971167551005,-63.64764640284189,day,0.99609375,Yes,in sunlight
7,2023-05-05 12:57:52.491081,5.757529610274345,-62.26374328294063,day,0.99609375,Yes,in sunlight
8,2023-05-05 12:58:30.135144,3.825866653125604,-60.8902254069837,day,0.99609375,Yes,in sunlight
9,2023-05-05 12:59:07.739326,1.9423707234622167,-59.55949241921333,day,0.99609375,Yes,in sunlight
10,2023-05-05 12:59:45.349435,0.006637452221463847,-58.19622517013016,day,0.9375,Yes,in sunlight
11,2023-05-05 13:00:23.211079,-1.9290316125857032,-56.83302382261789,day,0.99609375,Yes,in sunlight
12,2023-05-05 13:01:01.019412,-3.86321035807603,-55.4664474314724,day,0.99609375,Yes,in sunlight
13,2023-05-05 13:01:38.603180,-5.7436896795158106,-54.129293902724896,day,0.99609375,Yes,in sunlight
14,2023-05-05 13:02:16.252922,-7.670691673872147,-52.74585834820386,day,0.99609375,Yes,in sunlight
15,2023-05-05 13:02:54.087443,-9.59185907255196,-51.34861076360148,day,0.984375,Yes,in sunlight
16,2023-05-05 13:03:31.696051,-11.455403662116453,-49.97138625335982,day,0.99609375,Yes,in sunlight
17,2023-05-05 13:04:09.242010,-13.360504490360729,-48.53606868880393,day,0.99609375,Yes,in sunlight
18,2023-05-05 13:04:47.067871,-15.255036687122692,-47.07575643931173,day,0.99609375,Yes,in sunlight
19,2023-05-05 13:05:24.596804,-17.087903289282476,-45.62602226194887,day,0.94921875,Yes,in sunlight
20,2023-05-05 13:06:02.202089,-18.956385003026778,-44.104399812187175,day,0.99609375,Yes,in sunlight
21,2023-05-05 13:06:39.828577,-20.760305317982525,-42.586839419197304,day,0.99609375,Yes,in sunlight
22,2023-05-05 13:07:17.383536,-22.595146609872334,-40.98682564306147,day,0.99609375,Yes,in sunlight
23,2023-05-05 13:07:55.109532,-24.409717052024828,-39.340055418639906,day,0.99609375,Yes,in sunlight
24,2023-05-05 13:08:32.826551,-26.15478704040005,-37.68689166143359,day,0.99609375,Yes,in sunlight
25,2023-05-05 13:09:10.536853,-27.922168996647482,-35.93280209213758,day,0.99609375,Yes,in sunlight
26,2023-05-05 13:09:48.149975,-29.661610114978842,-34.11623027892166,day,0.99609375,Yes,in sunlight
27,2023-05-05 13:10:25.754757,-31.325558383476427,-32.28192473036708,day,0.99609375,Yes,in sunlight
28,2023-05-05 13:11:03.346942,-33.000756469973936,-30.32486458552357,day,0.99609375,Yes,in sunlight
29,2023-05-05 13:11:40.881309,-34.59568212649524,-28.342208279523067,day,0.99609375,Yes,in sunlight
30,2023-05-05 13:12:18.448489,-36.192773645788094,-26.2205917311929,day,0.99609375,Yes,in sunlight
31,2023-05-05 13:12:55.994488,-37.704021977683034,-24.065639852194654,day,0.99609375,Yes,in sunlight
32,2023-05-05 13:13:33.548042,-39.20668149086619,-21.754648951760228,day,0.984375,Yes,in sunlight
33,2023-05-05 13:14:11.300741,-40.654392965651574,-19.3384325739872,day,0.99609375,Yes,in sunlight
34,2023-05-05 13:14:48.859843,-42.00619093055879,-16.879150329157603,day,0.99609375,Yes,in sunlight
35,2023-05-05 13:15:26.632659,-43.32963133159658,-14.238753743416627,day,0.99609375,Yes,in sunlight
36,2023-05-05 13:16:04.377394,-44.58137827790185,-11.477860787320214,day,0.99609375,Yes,in sunlight
37,2023-05-05 13:16:41.957203,-45.7252954003802,-8.67082053242453,day,0.99609375,Yes,in sunlight
38,2023-05-05 13:17:19.734992,-46.81680352651544,-5.66432627134682,day,0.99609375,Yes,in sunlight
39,2023-05-05 13:17:57.295415,-47.81721002131612,-2.5329397718568454,day,0.99609375,Yes,in sunlight
40,2023-05-05 13:18:35.451760,-48.71973924367018,0.7206386160799654,day,0.99609375,Yes,in sunlight
41,2023-05-05 13:19:13.207017,-49.51771207867547,4.09097304922662,day,0.99609375,Yes,in sunlight
42,2023-05-05 13:19:51.284210,-50.20472448087216,7.569602785403671,day,0.99609375,Yes,in sunlight
43,2023-05-05 13:20:29.020277,-50.774849227193684,11.144882885156266,day,0.99609375,Yes,in sunlight
44,2023-05-05 13:21:06.710981,-51.212664115798155,14.704859625028922,day,0.99609375,Yes,in sunlight
45,2023-05-05 13:21:44.464672,-51.537583202604765,18.424650180908742,day,0.99609375,Yes,in sunlight
46,2023-05-05 13:22:22.211477,-51.73287828674635,22.18891487816583,day,0.99609375,Yes,in sunlight
47,2023-05-05 13:22:59.989790,-51.79654678867118,25.87598313831755,day,0.99609375,Yes,in sunlight
48,2023-05-05 13:23:37.808856,-51.73134980158565,29.66280451358455,day,0.99609375,Yes,in sunlight
49,2023-05-05 13:24:16.006447,-51.527551738469015,33.52563068969526,day,0.99609375,Yes,in sunlight
50,2023-05-05 13:24:54.205751,-51.197677124435046,37.2439873349798,day,0.99609375,Yes,in sunlight
51,2023-05-05 13:25:31.982680,-50.755102245718874,40.802098603587716,day,0.99609375,Yes,in sunlight
52,2023-05-05 13:26:09.735338,-50.18017147568048,44.37505501036551,day,0.9921875,Yes,in sunlight
53,2023-05-05 13:26:47.901100,-49.48844810610309,47.85103252286758,day,0.9921875,Yes,in sunlight
54,2023-05-05 13:27:25.680075,-48.68586602067559,51.21847505184718,day,0.703125,Yes,in sunlight
55,2023-05-05 13:28:03.402657,-47.77883137046048,54.46900862624075,day,0.78515625,Yes,in sunlight
56,2023-05-05 13:28:41.140555,-46.774021381638654,57.59727782773816,night,0.6796875,Yes,in sunlight
57,2023-05-05 13:29:26.706923,-45.46695533430066,61.140228885531506,night,0.86328125,Yes,in sunlight
58,2023-05-05 13:30:12.256105,-44.01051437048766,64.5808567993268,night,0.83203125,Yes,in sunlight
59,2023-05-05 13:30:57.739104,-42.4789695968527,67.77320753844668,night,0.78515625,No,in sunlight
60,2023-05-05 13:31:43.984983,-40.81493537042466,70.86584888607717,night,0.95703125,No,in sunlight
61,2023-05-05 13:32:29.828563,-39.061443363563505,73.79481942943502,night,0.96875,No,in sunlight
62,2023-05-05 13:33:15.342275,-37.22786119390704,76.57039277154007,night,0.953125,No,in sunlight
63,2023-05-05 13:34:01.546851,-35.32275604543359,79.20359826605802,day,0.703125,No,in shadow
64,2023-05-05 13:34:39.165757,-33.700584882488144,81.27951889970123,night,0.99609375,No,in shadow
65,2023-05-05 13:35:24.476997,-31.728847701693784,83.63093796718653,night,0.99609375,No,in shadow
66,2023-05-05 13:36:09.839204,-29.707834397727552,85.87626139885022,night,0.99609375,No,in shadow
67,2023-05-05 13:36:55.538836,-27.59671884325404,88.07225413569518,night,0.99609375,No,in shadow
68,2023-05-05 13:37:40.860943,-25.49237916960408,90.1331929180553,night,0.99609375,No,in shadow
69,2023-05-05 13:38:26.256012,-23.306049462259956,92.1602110310064,night,0.99609375,No,in shadow
70,2023-05-05 13:39:12.254921,-21.08848890257015,94.11574814678481,night,0.99609375,No,in shadow
71,2023-05-05 13:39:57.656994,-18.89279851005815,95.96793349530533,night,0.99609375,No,in shadow
72,2023-05-05 13:40:43.324700,-16.625042659844922,97.80712303717719,night,0.99609375,No,in shadow
73,2023-05-05 13:41:29.039291,-14.337175829004225,99.59924829809165,night,0.99609375,No,in shadow
74,2023-05-05 13:42:14.361594,-12.082670101681504,101.31393553824233,night,0.99609375,No,in shadow
75,2023-05-05 13:43:00.381914,-9.7642898061759,103.03427747863164,night,0.99609375,No,in shadow
76,2023-05-05 13:43:45.786476,-7.485565294846978,104.69189086671284,night,0.99609375,No,in shadow
77,2023-05-05 13:44:31.421519,-5.1479130377485465,106.36682693613761,night,0.99609375,No,in shadow
78,2023-05-05 13:45:16.827736,-2.8554991592200647,107.99229105452645,night,0.99609375,No,in shadow
79,2023-05-05 13:46:02.125753,-0.5089829749006737,109.64661640799616,night,0.99609375,No,in shadow
80,2023-05-05 13:46:47.802023,1.7871734954424074,111.26372795798095,night,0.99609375,No,in shadow
81,2023-05-05 13:47:33.501046,4.132514627822396,112.92151290678493,night,0.99609375,No,in shadow
82,2023-05-05 13:48:19.170776,6.47343761819706,114.59021282035978,night,0.99609375,No,in shadow
83,2023-05-05 13:49:04.846813,8.756673434705093,116.23921980088691,night,0.99609375,No,in shadow
84,2023-05-05 13:49:50.585667,11.081042503892728,117.94812977258249,night,0.99609375,No,in shadow
85,2023-05-05 13:50:36.646364,13.392905159337783,119.68713815674484,night,0.99609375,No,in shadow
86,2023-05-05 13:51:21.971550,15.639566616442549,121.42409101870034,night,0.99609375,No,in shadow
87,2023-05-05 13:52:07.358935,17.917798381285223,123.24327335643866,night,0.99609375,No,in shadow
88,2023-05-05 13:52:52.976968,20.12535005048026,125.07282791036259,night,0.99609375,No,in shadow
89,2023-05-05 13:53:38.698366,22.35679016595569,127.00193658617547,night,0.99609375,No,in shadow
90,2023-05-05 13:54:24.049621,24.558898596694142,128.99901237063546,night,0.99609375,No,in shadow
91,2023-05-05 13:55:09.750660,26.680651937142436,131.0270754936281,night,0.99609375,No,in shadow
92,2023-05-05 13:55:55.484574,28.81175457836242,133.1856106163963,night,0.99609375,No,in shadow
93,2023-05-05 13:56:40.859385,30.854640729898197,135.39035279023517,night,0.99609375,No,in shadow
94,2023-05-05 13:57:26.550754,32.894529409173764,137.7496537829482,night,0.99609375,No,in shadow
95,2023-05-05 13:58:11.962576,34.83674799128643,140.1714126718345,night,0.99609375,No,in shadow
96,2023-05-05 13:58:57.691537,36.76081120259955,142.77435315183837,night,0.99609375,No,in shadow
97,2023-05-05 13:59:43.047144,38.615287953037765,145.5173727088295,night,0.99609375,No,in shadow
98,2023-05-05 14:00:29.027051,40.391756011474634,148.41166783882073,night,0.99609375,No,in shadow
99,2023-05-05 14:01:15.087936,42.080989634452706,151.46780384788173,night,0.99609375,No,in shadow
100,2023-05-05 14:02:00.456992,43.63946154972861,154.62310282616548,night,0.99609375,No,in shadow
101,2023-05-05 14:02:45.777222,45.094768559046635,157.94921794556413,night,0.99609375,Yes,in shadow
102,2023-05-05 14:03:31.479192,46.46465946831979,161.5303646083372,night,0.99609375,Yes,in shadow
103,2023-05-05 14:04:16.916411,47.67824950934698,165.21174466829495,night,0.99609375,Yes,in shadow
104,2023-05-05 14:05:02.357093,48.77762426056244,169.153206867018,night,0.99609375,Yes,in shadow
105,2023-05-05 14:05:47.755036,49.7036372671117,173.1742434176806,night,0.99609375,Yes,in shadow
106,2023-05-05 14:06:33.745922,50.48637426139001,177.4377857674011,day,0.5546875,Yes,in sunlight
107,2023-05-05 14:07:11.449844,51.00085541979863,-178.93932699855702,night,0.765625,Yes,in sunlight
108,2023-05-05 14:07:57.080797,51.456319878254114,-174.45658717504898,night,0.88671875,Yes,in sunlight
109,2023-05-05 14:08:42.845553,51.71867258750085,-169.9995422025969,night,0.9609375,Yes,in sunlight
110,2023-05-05 14:09:28.718211,51.79563539233551,-165.40793171681105,night,0.9609375,Yes,in sunlight
111,2023-05-05 14:10:14.300979,51.67814763880827,-160.82079783582142,night,0.94140625,Yes,in sunlight
112,2023-05-05 14:11:00.188673,51.368028241842566,-156.27854113456755,night,0.9765625,Yes,in sunlight
113,2023-05-05 14:11:46.464711,50.869935061310656,-151.81887023129377,night,0.99609375,Yes,in sunlight
114,2023-05-05 14:12:32.393041,50.191034727555575,-147.47476575594098,day,0.84765625,Yes,in sunlight
115,2023-05-05 14:13:10.193016,49.50031738132998,-143.99260812920903,day,0.99609375,Yes,in sunlight
116,2023-05-05 14:13:47.997261,48.72091522624039,-140.7066893615736,day,0.99609375,Yes,in sunlight
117,2023-05-05 14:14:25.753787,47.81700576119855,-137.44767710764728,day,0.99609375,Yes,in sunlight
118,2023-05-05 14:15:03.974264,46.814937250281524,-134.31132016865854,day,0.99609375,Yes,in sunlight
119,2023-05-05 14:15:41.787191,45.721526884742254,-131.3003287566096,day,0.99609375,Yes,in sunlight
120,2023-05-05 14:16:19.486833,44.543538494022094,-128.41503029871188,day,0.99609375,Yes,in sunlight
